id,name,parent_name,source,details
31,Mark of Scribing,Gnome,17,"If you're a gnome with the Mark of Scribing, you have this subrace, with the following traits.||||||Ability Score Increase. Your Charisma score increases by 1|||||||||Gifted Scribe. Whenever you make an Intelligence (History) or an Ability Check involving Calligrapher's Supplies, you can roll a d4 and add the number rolled to the total ability check.|||||||||Scribe's Insight. You know the <a href=""http://dnd5e.wikidot.com/spell:message"" target=""_blank"">Message cantrip. You can also cast the <a href=""http://dnd5e.wikidot.com/spell:comprehend-languages"" target=""_blank"">Comprehend Languages spell with this trait. Starting at 3rd level, you can also cast the <a href=""http://dnd5e.wikidot.com/spell:magic-mouth"" target=""_blank"">Magic Mouth spell with it. Once you cast either spell with this trait, you can't cast that spell again until you finish a Long Rest. Intelligence is your Spellcasting Ability for these spells.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Scribing Spells table are added to the spell list of your Spellcasting class.||||||Mark of Scribing Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:comprehend-languages"" target=""_blank"">Comprehend Languages, <a href=""http://dnd5e.wikidot.com/spell:illusory-script"" target=""_blank"">Illusory Script|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:animal-messenger"" target=""_blank"">Animal Messenger, <a href=""http://dnd5e.wikidot.com/spell:silence"" target=""_blank"">Silence|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:sending"" target=""_blank"">Sending, <a href=""http://dnd5e.wikidot.com/spell:tongues"" target=""_blank"">Tongues|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:arcane-eye"" target=""_blank"">Arcane Eye, <a href=""http://dnd5e.wikidot.com/spell:divination"" target=""_blank"">Divination|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:dream"" target=""_blank"">Dream|||||||||See also: Deep Gnome (MPMM)|||"
32,Half Elf,,3,"Walking in two worlds but truly belonging to neither, half-elves combine what some say are the best qualities of their elf and human parents: human curiosity, inventiveness, and ambition tempered by the refined senses, love of nature, and artistic tastes of the elves.||||||Ability Score Increase. Your Charisma score increases by 2, and two other ability scores of your choice each increase by 1.|||||||||Age. Half-elves age at much the same rate as humans, reaching adulthood at the age of 20. They live much longer than humans, however, often exceeding 180 years.|||||||||Alignment. Half-elves share the chaotic bent of their elven heritage. They both value personal freedom and creative expression, demonstrating neither love of leaders nor desire for followers. They chafe at rules, resent others' demands, and sometimes prove unreliable, or at least unpredictable. They are good and evil in equal numbers, a trait they share with their human parents.|||||||||Size. Half-elves are more or less the same size as humans, ranging from 5 to 6 feet tall. Your size is Medium.|||||||||Speed. Your base walking speed is 30 feet.|||||||||Darkvision. Thanks to your elven heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.|||||||||Fey Ancestry. You have advantage on saving throws against being charmed, and magic can't put you to sleep.|||||||||Languages. You can read, speak, and write Common, Elven, and one language of your choice.|||||||||Half-Elf Versatility. Choose one of the following traits:||||||Skill Versatility (General). You gain proficiency in two skills of your choice.|||Elf Weapon Training (High or Wood Elf Heritage). You have proficiency with the longsword, shortsword, shortbow, and longbow.|||Cantrip (High Elf Heritage). You know one cantrip of your choice from the wizard spell list. Intelligence is your spellcasting ability for it.|||Fleet of Foot (Wood Elf Heritage). Your base walking speed increases to 35 feet.|||Mask of the Wild (Wood Elf Heritage). You can attempt to hide even when you are only lightly obscured by foliage, heavy rain, falling snow, mist, and other natural phenomena.|||Drow Magic (Dark Elf Heritage). You know the Dancing Lights cantrip. When you reach 3rd level, you can cast Faerie Fire once, and it recharges after a long rest. When you reach 5th level, you can cast Darkness once, and it recharges after a long rest. Charisma is your spellcasting ability for these spells.|||Swim Speed (Sea Elf Heritage). You have a swimming speed of 30 feet.|||||||||||||||Skill Versatility (General). You gain proficiency in two skills of your choice.|||Elf Weapon Training (High or Wood Elf Heritage). You have proficiency with the longsword, shortsword, shortbow, and longbow.|||Cantrip (High Elf Heritage). You know one cantrip of your choice from the wizard spell list. Intelligence is your spellcasting ability for it.|||Fleet of Foot (Wood Elf Heritage). Your base walking speed increases to 35 feet.|||Mask of the Wild (Wood Elf Heritage). You can attempt to hide even when you are only lightly obscured by foliage, heavy rain, falling snow, mist, and other natural phenomena.|||Drow Magic (Dark Elf Heritage). You know the Dancing Lights cantrip. When you reach 3rd level, you can cast Faerie Fire once, and it recharges after a long rest. When you reach 5th level, you can cast Darkness once, and it recharges after a long rest. Charisma is your spellcasting ability for these spells.|||Swim Speed (Sea Elf Heritage). You have a swimming speed of 30 feet.||||||"
33,Mark of Detection,Half Elf,17,"If your Half-Elf has the Mark of Detection, these features replace the Ability Score Increase and the Half-Elf Versatility traits in the Player's Handbook.||||||Ability Score Increase. Your Wisdom score increases by 2, and one other Ability Score of your choice increases by 1.|||||||||Deductive Intuition. Whenever you make a Intelligence (Investigation) or a Wisdom (Insight) check, you can roll a d4 and add the number rolled to the total ability check.|||||||||Magical Detection. You can cast the <a href=""http://dnd5e.wikidot.com/spell:detect-magic"" target=""_blank"">Detect Magic and the <a href=""http://dnd5e.wikidot.com/spell:detect-poison-and-disease"" target=""_blank"">Detect Poison and Disease spells with this trait. Starting at 3rd level, you can also cast the <a href=""http://dnd5e.wikidot.com/spell:see-invisibility"" target=""_blank"">See Invisibility spell with it. Once you cast either spell with this trait, you can't cast that spell again until you finish a Long Rest. Intelligence is your Spellcasting Ability for these spells, and you don't require material components for them.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Detection Spells table are added to the spell list of your Spellcasting class.||||||Mark of Detection Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:detect-magic"" target=""_blank"">Detect Magic, <a href=""http://dnd5e.wikidot.com/spell:detect-poison-and-disease"" target=""_blank"">Detect Poison and Disease|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:detect-thoughts"" target=""_blank"">Detect Thoughts, <a href=""http://dnd5e.wikidot.com/spell:find-traps"" target=""_blank"">Find Traps|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:clairvoyance"" target=""_blank"">Clairvoyance, <a href=""http://dnd5e.wikidot.com/spell:nondetection"" target=""_blank"">Nondetection|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:arcane-eye"" target=""_blank"">Arcane Eye,<a href=""http://dnd5e.wikidot.com/spell:divination"" target=""_blank"">Divination|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:legend-lore"" target=""_blank"">Legend Lore|||||||||"
34,Mark of Storm,Half Elf,17,"If your Half-Elf has the Mark of Storm, these features replace the Ability Score Increase and the Half-Elf Versatility traits in the Player's Handbook.||||||Ability Score Increase. Your Charisma score increases by 2, and your Dexterity score increases by 1.|||||||||Windwright's Intuition. Whenever you make a Dexterity (Acrobatics) check or any Ability Check involving Navigator's Tools, you can roll a d4 and add the number rolled to the total ability check.|||||||||Storm's Boon. You have resistance to Lightning damage.|||||||||Headwinds. You know the <a href=""http://dnd5e.wikidot.com/spell:gust"" target=""_blank"">Gust cantrip. Starting at 3rd level, you can also cast the <a href=""http://dnd5e.wikidot.com/spell:gust-of-wind"" target=""_blank"">Gust of Wind spell with it. Once you cast this spell with this trait, you can't cast that spell again until you finish a Long Rest. Charisma is your Spellcasting Ability for this spell.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Storm Spells table are added to the spell list of your Spellcasting class.||||||Mark of Storm Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:feather-fall"" target=""_blank"">Feather Fall, <a href=""http://dnd5e.wikidot.com/spell:fog-cloud"" target=""_blank"">Fog Cloud|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:gust-of-wind"" target=""_blank"">Gust of Wind, <a href=""http://dnd5e.wikidot.com/spell:levitate"" target=""_blank"">Levitate|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:sleet-storm"" target=""_blank"">Sleet Storm, <a href=""http://dnd5e.wikidot.com/spell:wind-wall"" target=""_blank"">Wind Wall|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:conjure-minor-elementals"" target=""_blank"">Conjure Minor Elementals, <a href=""http://dnd5e.wikidot.com/spell:control-water"" target=""_blank"">Control Water|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:conjure-elemental"" target=""_blank"">Conjure Elemental|||||||||"
35,Half Orc,,3,"When alliances between humans and orcs are sealed by marriages, half-orcs are born. Some half-orcs rise to become proud chiefs of orc tribes, their human blood giving them an edge over their full-blooded orc rivals. Some venture into the world to prove their worth among humans and other more civilized races. Many of these become adventurers, achieving greatness for their mighty deeds and notoriety for their barbaric customs and savage fury.||||||Ability Score Increase. Your Strength score increases by 2, and your Constitution score increases by 1.|||||||||Age. Half-orcs mature a little faster than humans, reaching adulthood around age 14. They age noticeably faster and rarely live longer than 75 years.|||||||||Alignment. Half-orcs inherit a tendency toward chaos from their orc parents and are not strongly inclined toward good. Half-orcs raised among orcs and willing to live out their lives among them are usually evil.|||||||||Size. Half-orcs are somewhat larger and bulkier than humans, and they range from 5 to well over 6 feet tall. Your size is Medium.|||||||||Speed. Your base walking speed is 30 feet.|||||||||Darkvision. Thanks to your orc blood, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.|||||||||Menacing. You gain proficiency in the Intimidation skill.|||||||||Relentless Endurance. When you are reduced to 0 hit points but not killed outright, you can drop to 1 hit point instead. You can't use this feature again until you finish a long rest.|||||||||Savage Attacks. When you score a critical hit with a melee weapon attack, you can roll one of the weapon's damage dice one additional time and add it to the extra damage of the critical hit.|||||||||Languages. You can speak, read, and write Common and Orc. Orc is a harsh, grating language with hard consonants. It has no script of its own but is written in the Dwarvish script.||||||"
36,Mark of Finding,Half Orc,17,"If your Half-Orc has the Mark of Finding, replace all Racial Traits found in the Player's Handbook with these, except for Age, Alignment, Size, and Speed.||||||Ability Score Increase. Your Wisdom score increases by 2, and your Constitution score increases by 1.|||||||||Darkvision. You can see in dim light within 60ft. of you as if it were bright light, and in darkness as if it were dim light. You can't discern colors in darkness, only shades of grey.|||||||||Hunter's Intuition. Whenever you make a Wisdom (Perception) or a Wisdom (Survival) check, you can roll a d4 and add the number rolled to the total ability check.|||||||||Finder's Magic. You can cast the <a href=""http://dnd5e.wikidot.com/spell:hunters-mark"" target=""_blank"">Hunter's Mark spell with this trait. Starting at 3rd level, you can also cast the <a href=""http://dnd5e.wikidot.com/spell:locate-object"" target=""_blank"">Locate Object spell with it. Once you cast either spell with this trait, you can't cast that spell again until you finish a Long Rest. Wisdom is your Spellcasting Ability for these spells.|||||||||Languages. You can speak, read, and write Common and Goblin.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Finding Spells table are added to the spell list of your Spellcasting class.||||||Mark of Finding Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:Faerie-Fire"" target=""_blank"">Faerie Fire, <a href=""http://dnd5e.wikidot.com/spell:longstrider"" target=""_blank"">Longstrider|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:locate-animals-or-plants"" target=""_blank"">Locate Animals or Plants, <a href=""http://dnd5e.wikidot.com/spell:locate-object"" target=""_blank"">Locate Object|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:clairvoyance"" target=""_blank"">Clairvoyance, <a href=""http://dnd5e.wikidot.com/spell:speak-with-plants"" target=""_blank"">Speak With Plants|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:divination"" target=""_blank"">Divination, <a href=""http://dnd5e.wikidot.com/spell:locate-creature"" target=""_blank"">Locate Creature|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:commune-with-nature"" target=""_blank"">Commune With Nature|||||||||"
37,Lightfoot,Halfling,3,"As a lightfoot halfling, you can easily hide from notice, even using other people as cover. You're inclined to be affable and get along well with others. In the Forgotten Realms, lightfoot halflings have spread the farthest and thus are the most common variety.|||Lightfoots are more prone to wanderlust than other halflings, and often dwell alongside other races or take up a nomadic life. In the world of Grayhawk, these halflings are called hairfeet or tallfellows.||||||Ability Score Increase. Your Charisma score increases by 1.|||||||||Naturally Stealthy. You can attempt to hide even when you are only obscured by a creature that is at least one size larger than you.||||||"
38,Stout,Halfling,3,"As a stout halfling, you're hardier than average and have some resistance to poison. Some say that stouts have dwarven blood. In the Forgotten Realms, these halflings are called stronghearts, and they're most common in the south.||||||Ability Score Increase. Your Constitution score increases by 1.|||||||||Stout Resilience. You have advantage on saving throws against poison, and you have resistance to poison damage.||||||"
39,Ghostwise,Halfling,14,"Ghostwise halflings trace their ancestry back to a war among halfling tribes that sent their ancestors into flight from Luiren. Ghostwise halflings are the rarest of the hin, found only in the Chondalwood and a few other isolated forests, clustered in tight-knit clans.|||Many ghostwise clans select a natural landmark as the center of their territory, and members carry a piece of that landmark with them at all times. Clan warriors known as nightgliders bond with and ride giant owls as mounts.|||Because these folk are clannish and mistrustful of outsiders, ghostwise halfling adventurers are rare. Ask your DM if you can play a member of this subrace, which has the halfling traits in the Player's Handbook, plus the subrace traits below.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Silent Speech. You can speak telepathically to any creature within 30 feet of you. The creature understands you only if the two of you share a language. You can speak telepathically in this way to one creature at a time.||||||"
40,Lotusden,Halfling,18,"Long tied to the natural heart of the Lotusden Greenwood, these halflings have adapted to live synergistically with the chaotic laws of the wilds.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Children of the Woods. You know the Druidcraft Cantrip. At 3rd level, you can cast the Entangle spell once per long rest. At 5th level, you can cast Spike Growth spell once per long rest. These spells don't require the material components normally required. Wisdom is your spellcasting ability for these spells.|||||||||Timberwalk. Ability checks made to track you are at disadvantage and you can move through difficult terrain made of non-magical plants and overgrowth without expending extra movement.||||||"
41,Mark of Hospitality,Halfling,17,"If you're a halfling with the Mark of Hospitality, you have this subrace, with the following traits.||||||Ability Score Increase. Your Charisma score increases by 1.|||||||||Ever Hospitable. Whenever you roll a Charisma (Persuasion) check or an ability check involving Brewer's Tools or Cook's Utensils, roll a d4 and add the number rolled to the total ability check.|||||||||Innkeeper's Magic. You know the <a href=""http://dnd5e.wikidot.com/spell:prestidigitation"" target=""_blank"">Prestidigitation cantrip. You can also cast <a href=""http://dnd5e.wikidot.com/spell:purify-food-and-drink"" target=""_blank"">Purify Food and Drink and <a href=""http://dnd5e.wikidot.com/spell:unseen-servant"" target=""_blank"">Unseen Servant with this trait. Once you cast either spell with this trait, you can't cast that spell again until you finish a long rest. Charisma is your Spellcasting Ability for these spells.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class features, the spells on the Mark of Hospitality Spells table are added to the spell list of your spellcasting class.||||||Mark of Hospitality Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:goodberry"" target=""_blank"">Goodberry, <a href=""http://dnd5e.wikidot.com/spell:sleep"" target=""_blank"">Sleep|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:aid"" target=""_blank"">Aid, <a href=""http://dnd5e.wikidot.com/spell:calm-emotions"" target=""_blank"">Calm Emotions|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:create-food-and-water"" target=""_blank"">Create Food and Water, <a href=""http://dnd5e.wikidot.com/spell:leomunds-tiny-hut"" target=""_blank"">Leomund's Tiny Hut|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:aura-of-purity"" target=""_blank"">Aura of Purity, <a href=""http://dnd5e.wikidot.com/spell:mordenkainens-private-sanctum"" target=""_blank"">Mordenkainen's Private Sanctum|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:hallow"" target=""_blank"">Hallow|||||||||"
42,Mark of Healing,Halfling,17,"If you're a halfling with the Mark of Healing, you have this subrace, with the following traits.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Medical Intuition. Whenever you roll a Wisdom (Medicine) check or an ability check involving an Herbalism Kit, roll a d4 and add the number rolled to the total ability check.|||||||||Healing Touch. You can cast the <a href=""http://dnd5e.wikidot.com/spell:cure-wounds"" target=""_blank"">Cure Wounds spell with this trait. Beginning at 3rd level, you can also cast the <a href=""http://dnd5e.wikidot.com/spell:lesser-restoration"" target=""_blank"">Lesser Restoration spell with this trait. Once you cast either spell with this trait, you can't cast that spell again until you finish a long rest. Wisdom is your Spellcasting Ability for these spells.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class features, the spells on the Mark of Healing Spells table are added to the spell list of your spellcasting class.||||||Mark of Healing Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:cure-wounds"" target=""_blank"">Cure Wounds, <a href=""http://dnd5e.wikidot.com/spell:healing-word"" target=""_blank"">Healing Word|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:lesser-restoration"" target=""_blank"">Lesser Restoration, <a href=""http://dnd5e.wikidot.com/spell:prayer-of-healing"" target=""_blank"">Prayer of Healing|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:aura-of-vitality"" target=""_blank"">Aura of Vitality, <a href=""http://dnd5e.wikidot.com/spell:mass-healing-word"" target=""_blank"">Mass Healing Word|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:aura-of-purity"" target=""_blank"">Aura of Purity, <a href=""http://dnd5e.wikidot.com/spell:aura-of-life"" target=""_blank"">Aura of Life|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:greater-restoration"" target=""_blank"">Greater Restoration|||||||||"
43,Variant,Human,3,"If your campaign uses the optional feat rules from chapter 5 of the Player's Handbook, your Dungeon Master might allow these variant traits, all of which replace the human's Ability Score Increase trait.||||||Ability Score Increase. Two different ability scores of your choice increase by 1.|||||||||Skills. You gain proficiency in one skill of your choice.|||||||||Feat. You gain one <a href=""http://dnd5e.wikidot.com/#toc6"">Feat of your choice.||||||"
44,Mark of Finding,Human,17,"If your Human has the Mark of Finding, replace all Racial Traits found in the Player's Handbook with these, except for Age, Alignment, Size, and Speed.||||||Ability Score Increase. Your Wisdom score increases by 2, and your Constitution score increases by 1.|||||||||Darkvision. You can see in dim light within 60ft. of you as if it were bright light, and in darkness as if it were dim light. You can't discern colors in darkness, only shades of grey.|||||||||Hunter's Intuition. Whenever you make a Wisdom (Perception) or a Wisdom (Survival) check, you can roll a d4 and add the number rolled to the total ability check.|||||||||Finder's Magic. You can cast the <a href=""http://dnd5e.wikidot.com/spell:hunters-mark"" target=""_blank"">Hunter's Mark spell with this trait. Starting at 3rd level, you can also cast the <a href=""http://dnd5e.wikidot.com/spell:locate-object"" target=""_blank"">Locate Object spell with it. Once you cast either spell with this trait, you can't cast that spell again until you finish a Long Rest. Wisdom is your Spellcasting Ability for these spells.|||||||||Languages. You can speak, read, and write Common and Goblin.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Finding Spells table are added to the spell list of your Spellcasting class.||||||Mark of Finding Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:Faerie-Fire"" target=""_blank"">Faerie Fire, <a href=""http://dnd5e.wikidot.com/spell:longstrider"" target=""_blank"">Longstrider|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:locate-animals-or-plants"" target=""_blank"">Locate Animals or Plants, <a href=""http://dnd5e.wikidot.com/spell:locate-object"" target=""_blank"">Locate Object|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:clairvoyance"" target=""_blank"">Clairvoyance, <a href=""http://dnd5e.wikidot.com/spell:speak-with-plants"" target=""_blank"">Speak With Plants|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:divination"" target=""_blank"">Divination, <a href=""http://dnd5e.wikidot.com/spell:locate-creature"" target=""_blank"">Locate Creature|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:commune-with-nature"" target=""_blank"">Commune With Nature|||||||||"
45,Mark of Handling,Human,17,"If your Human has the Mark of Handling, replace all Racial Traits found in the Player's Handbook with these, except for Age, Alignment, Size, and Speed.||||||Ability Score Increase. Your Wisdom score increases by 2, and one other Ability Score of your choice increases by 1.|||||||||Wild Intuition. Whenever you make a Wisdom (Animal Handling) or a Intelligence (Nature) check, you can roll a d4 and add the number rolled to the total ability check.|||||||||Primal Connection. You can cast the <a href=""http://dnd5e.wikidot.com/spell:animal-friendship"" target=""_blank"">Animal Friendship spell and the <a href=""http://dnd5e.wikidot.com/spell:speak-with-animals"" target=""_blank"">Speak With Animals with this trait, requiring no material components. Once you cast either spell with this trait, you can't cast that spell again until you finish a Long Rest. Wisdom is your Spellcasting Ability for these spells.|||||||||The Bigger They Are. Starting at 3rd level, you can target a Beast or a Monstrosity when you cast <a href=""http://dnd5e.wikidot.com/spell:animal-friendship"" target=""_blank"">Animal Friendship or <a href=""http://dnd5e.wikidot.com/spell:speak-with-animals"" target=""_blank"">Speak With Animals, provided that the creature's intelligence is 3 or lower.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Handling Spells table are added to the spell list of your Spellcasting class.||||||Mark of Handling Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:animal-friendship"" target=""_blank"">Animal Friendship, <a href=""http://dnd5e.wikidot.com/spell:speak-with-animals"" target=""_blank"">Speak With Animals|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:beast-sense"" target=""_blank"">Beast Sense, <a href=""http://dnd5e.wikidot.com/spell:calm-emotions"" target=""_blank"">Calm Emotions|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:beacon-of-hope"" target=""_blank"">Beacon of Hope, <a href=""http://dnd5e.wikidot.com/spell:conjure-animals"" target=""_blank"">Conjure Animals|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:aura-of-life"" target=""_blank"">Aura of Life, <a href=""http://dnd5e.wikidot.com/spell:dominate-beast"" target=""_blank"">Dominate Beast|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:awaken"" target=""_blank"">Awaken|||||||||"
46,Mark of Making,Human,17,"If your Human has the Mark of Making, replace all Racial Traits found in the Player's Handbook with these, except for Age, Alignment, Size, and Speed.||||||Ability Score Increase. Your Intelligence score increases by 2, and one other Ability Score of your choice increases by 1.|||||||||Artisan's Intuition. Whenever you make an Intelligence (Arcana) or an Ability Check involving Artisan's Tools, you can roll a d4 and add the number rolled to the total ability check.|||||||||Artisan's Gift You gain proficiency in one type of Artisan's Tools of your choice.|||||||||Spellsmith. You learn the <a href=""http://dnd5e.wikidot.com/spell:mending"" target=""_blank"">Mending cantrip. You can also cast the <a href=""http://dnd5e.wikidot.com/spell:magic-weapon"" target=""_blank"">Magic Weapon spell with this trait. When you do so, the spell lasts for 1 hour and doesn't require concentration. Once you cast this spell with this trait, you can't cast that spell again until you finish a Long Rest. Intelligence is your Spellcasting Ability for these spells.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Making Spells table are added to the spell list of your Spellcasting class.||||||Mark of Making Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:identify"" target=""_blank"">Identify, <a href=""http://dnd5e.wikidot.com/spell:tensers-floating-disk"" target=""_blank"">Tenser's Floating Disk|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:continual-flame"" target=""_blank"">Continual Flame, <a href=""http://dnd5e.wikidot.com/spell:magic-weapon"" target=""_blank"">Magic Weapon|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:conjure-barrage"" target=""_blank"">Conjure Barrage, <a href=""http://dnd5e.wikidot.com/spell:elemental-weapon"" target=""_blank"">Elemental Weapon|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:fabricate"" target=""_blank"">Fabricate, <a href=""http://dnd5e.wikidot.com/spell:stone-shape"" target=""_blank"">Stone Shape|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:creation"" target=""_blank"">Creation|||||||||"
47,Mark of Passage,Human,17,"If your Human has the Mark of Passage, replace all Racial Traits found in the Player's Handbook with these, except for Age, Alignment, and Size.||||||Ability Score Increase. Your Dexterity score increases by 2, and one other Ability Score of your choice increases by 1.|||||||||Courier's Speed You gain a base walking speed of 35ft.|||||||||Intuitive Motion. Whenever you make an Dexterity (Acrobatics) or an Ability Check involving operating or maintaining a Land Vehicle, you can roll a d4 and add the number rolled to the total ability check.|||||||||Magical Passage. You can cast the <a href=""http://dnd5e.wikidot.com/spell:misty-step"" target=""_blank"">Misty Step spell with this trait. Once you cast this spell with this trait, you can't cast that spell again until you finish a Long Rest. Dexterity is your Spellcasting Ability for these spells.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Passage Spells table are added to the spell list of your Spellcasting class.||||||Mark of Passage Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:expeditious-retreat"" target=""_blank"">Expeditious Retreat, <a href=""http://dnd5e.wikidot.com/spell:jump"" target=""_blank"">Jump|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:misty-step"" target=""_blank"">Misty Step, <a href=""http://dnd5e.wikidot.com/spell:pass-without-trace"" target=""_blank"">Pass Without Trace|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:blink"" target=""_blank"">Blink, <a href=""http://dnd5e.wikidot.com/spell:phantom-steed"" target=""_blank"">Phantom Steed|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:dimension-door"" target=""_blank"">Dimension Door, <a href=""http://dnd5e.wikidot.com/spell:freedom-of-movement"" target=""_blank"">Freedom of Movement|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:teleportation-circle"" target=""_blank"">Teleportation Circle|||||||||"
