1,name,source,type,description
174,Helm of Comprehending Languages,4,"Wondrous item, uncommon","While wearing this helm, you can use an action to cast the Comprehend Languages spell from it at will."
175,Helm of Telepathy,4,"Wondrous item, uncommon (requires attunement)","While wearing this helm, you can use an action to cast the Detect Thoughts spell (save DC 13) from it. As long as you maintain concentration on the spell, you can use a bonus action to send a telepathic message to a creature you are focused on. It can reply — using a bonus action to do so — while your focus on it continues.|||While focusing on a creature with Detect Thoughts, you can use an action to cast the Suggestion spell (save DC 13) from the helm on that creature. Once used, the Suggestion property can't be used again until the next dawn."
176,Helm of Underwater Action,35,"Wondrous item, uncommon (requires attunement)","While wearing this brass helmet, you can breathe underwater, you gain dark vision with a range of 60 feet, and you gain a swimming speed of 30 feet."
177,House Of Cards,13,"Wondrous Item, uncommon","This deck of cards is decorated with geometric shapes that have a protective motif. While you’re holding the deck, you can use an action to shuffle it and cause the cards to deal themselves out and transform into a shelter made of cards. The shelter can be shaped however you desire, but it must fit in a 40-foot cube centered on a point within 30 feet of you. The shelter has one door and up to four windows, and only you can open or close them. It has a floor and a roof, and it maintains a comfortable temperature inside.|||The shelter has AC 15, 50 hit points, and immunity to poison and psychic damage. The shelter lasts for 24 hours, until you dismiss it as an action, or until it is reduced to 0 hit points. When the shelter’s duration ends, it transforms back into a deck of cards and appears in your hand. Once the deck has transformed into a shelter, it can’t be used again until the next dawn."
178,Immovable Rod,4,"Rod, uncommon","This flat iron rod has a button on one end. You can use an action to press the button, which causes the rod to become magically fixed in place. Until you or another creature uses an action to push the button again, the rod doesn't move, even if it is defying gravity. The rod can hold up to 8,000 pounds of weight. More weight causes the rod to deactivate and fall. A creature can use an action to make a DC 30 Strength check, moving the fixed rod up to 10 feet on a success."
179,Infernal Puzzle Box,37,"Wondrous item, uncommon","An infernal puzzle box is a cube-shaped container 5 to 6 inches on a side, composed of airtight, interlocking parts made from materials found in the Nine Hells. Most of these boxes are made of infernal iron, though some are carved from bone or horn. Infernal puzzle boxes are used to safeguard diabolical contracts signed between devils and mortals, even after the terms of these contracts are fulfilled. An empty infernal puzzle box weighs 3 pounds regardless of the materials used to fashion it.|||When an object small enough to fit inside an infernal puzzle box is placed in it, the container magically seals shut around the object, and no magic can force the box open. The sealed box becomes immune to all damage as well. Every infernal puzzle box is constructed with a unique means of opening it. The trick to solving the puzzle is always mundane, never magical. Once a creature figures out the trick or sequence of steps needed to open a particular infernal puzzle box, that creature can open the box as an action, allowing access to the box's contents.|||A creature that spends 1 hour holding an infernal puzzle box while trying to open it can make a DC 30 Intelligence (Investigation) check. If the check succeeds, the creature figures out the trick or sequence of steps needed to open the box. If the check fails by 5 or more, the creature must make a DC 18 Wisdom saving throw, taking 42 (12d6) psychic damage on a failed save, or half as much damage on a successful one."
180,Insignia of Claws,46,"Wondrous item, uncommon","The jewels in this insignia of the Cult of the Dragon flare with purple light when you enter combat, empowering your natural fists or natural weapons.|||While wearing the insignia, you gain a +1 bonus to the attack rolls and the damage rolls you make with unarmed strikes and natural weapons. Such attacks are considered to be magical."
181,Instrument of the Bards,4,"Wondrous item, rarity varies (requires attunement by a bard)","An instrument of the bards is an exquisite example of its kind, superior to an ordinary instrument in every way. Seven types of these instruments exist, each named after a legendary bard college. The following table lists the spells common to all instruments, as well as the spells specific to each one and its rarity. A creature that attempts to play the instrument without being attuned to it must succeed on a DC 15 Wisdom saving throw or take 2d4 psychic damage.|||You can use an action to play the instrument and cast one of its spells. Once the instrument has been used to cast a spell, it can't be used to cast that spell again until the next dawn. The spells use your spellcasting ability and spell save DC.|||You can play the instrument while casting a spell that causes any of its targets to be charmed on a failed saving throw, thereby imposing disadvantage on the save. This effect applies only if the spell has a somatic or a material component.||||||Instrument,Rarity,Spells|||All,-,Fly, Invisibility, Levitate, Protection from Evil and Good, plus the spells listed for the particular instrument|||Anstruth harp,Very rare,Control Weather, Cure Wounds (5th level), Wall of Thorns|||Canaith mandolin,Rare,Cure Wounds (3rd level), Dispel Magic, Protection from Energy (lightning only)|||Cli lyre,Rare,Stone Shape, Wall of Fire, Wind Wall|||Doss lute,Uncommon,Animal Friendship, Protection from Energy (fire only), Protection from Poison|||Fochlucan bandore,Uncommon,Entangle, Faerie Fire, Shillelagh, Speak with Animals|||Mac-Fuirmidh cittern,Uncommon,Barkskin, Cure Wounds, Fog Cloud|||Ollamh harp,Legendary,Confusion, Control Weather, Fire Storm|||"
182,Javelin of Lightning,4,"Weapon (javelin), uncommon","This javelin is a magic weapon. When you hurl it and speak its command word, it transforms into a bolt of lightning, forming a line 5 feet wide that extends out from you to a target within 120 feet. Each creature in the line excluding you and the target must make a DC 13 Dexterity saving throw, taking 4d6 lightning damage on a failed save, and half as much damage on a successful one. The lightning bolt turns back into a javelin when it reaches the target. Make a ranged weapon attack against the target. On a hit, the target takes damage from the javelin plus 4d6 lightning damage.|||The javelin's property can't be used again until the next dawn. In the meantime, the javelin can still be used as a magic weapon."
183,Keoghtom's Ointment,4,"Wondrous item, uncommon","This glass jar, 3 inches in diameter, contains 1d4 + 1 doses of a thick mixture that smells faintly of aloe. The jar and its contents weigh 1/2 pound.|||As an action, one dose of the ointment can be swallowed or applied to the skin. The creature that receives it regains 2d8 + 2 hit points, ceases to be poisoned, and is cured of any disease."
184,Lantern of Revealing,4,"Wondrous item, uncommon","While lit, this hooded lantern burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot radius and dim light for an additional 30 feet. Invisible creatures and objects are visible as long as they are in the lantern's bright light. You can use an action to lower the hood, reducing the light to dim light in a 5-foot radius."
185,Living Gloves,17,"Wondrous item, uncommon (requires attunement)","These symbiotic gloves — made of thin chitin and sinew — pulse with a life of their own. To attune to them, you must wear them for the entire attunement period, during which the gloves bond with your skin.|||While attuned to these gloves, you gain one of the following proficiencies (your choice when you attune to the gloves):|||When you make an ability check using the chosen proficiency, you add double your proficiency bonus to the check, instead of your normal proficiency bonus.|||Symbiotic Nature. The gloves can't be removed from you while you're attuned to them, and you can't voluntarily end your attunement to them. If you're targeted by a spell that ends a curse, your attunement to the gloves ends, and they can be removed."
186,Lorehold Primer,21,"Wondrous Item, Uncommon (Requires Attunement by a Spellcaster)","The Lorehold Primer is a magic textbook created at Strixhaven's Lorehold College. The primer has 3 charges, and it regains 1d3 expended charges daily at dawn. If you make an Intelligence (History) or Intelligence (Religion) check while holding the primer, you can expend 1 charge to give yourself 1d4 bonus to the check, immediately after you roll the d20.|||In addition, if you study the primer at the end of a long rest, you can choose one 1st-level spell from the Cleric or Wizard spell list. Before you finish your next long rest, you can cast the chosen spell once without a spell slot if you are holding the primer. Your spellcasting ability for this spell is your choice of Intelligence, Wisdom, or Charisma."
187,Mariner's Armor,4,"Armor (light, medium, or heavy), uncommon","While wearing this armor, you have a swimming speed equal to your walking speed. In addition, whenever you start your turn underwater with 0 hit points, the armor causes you to rise 60 feet toward the surface. The armor is decorated with fish and shell motifs."
188,Mask of the Beast,31,"Wondrous item, uncommon","This wooden mask is shaped in the likeness of a beast's visage and has 3 charges. While wearing the mask, you can expend 1 charge and use the mask to cast the Animal Friendship spell as an action. The mask regains all expended charges at dawn."
189,Medallion of Thoughts,4,"Wondrous item, uncommon (requires attunement)","The medallion has 3 charges. While wearing it, you can use an action and expend 1 charge to cast the Detect Thoughts spell (save DC 13) from it. The medallion regains 1d3 expended charges daily at dawn."
190,Mind Carapace Armor,6,"Armor (any heavy armor), uncommon (requires attunement by a specific individual)","Any nonmagical suit of heavy armor can be turned by mind flayers into mind carapace armor. Only one creature can attune to it: either a specific mind flayer or one of its thralls. While worn by any other creature, the mind carapace armor functions as normal armor of its kind. To its intended wearer, the armor grants advantage on Intelligence, Wisdom, and Charisma saving throws and makes its wearer immune to the frightened condition."
191,Mind Crystal,48,"Wondrous Item, Rarity Varies","These gemstones contain a crystallized bit of spellcasting magic. Different types of mind crystals exist, each with a different single-use effect.|||When you cast a spell that has a casting time of 1 action while holding a mind crystal, you can modify the spell in a specific way that has an effect described below. You can use only a single mind crystal to modify the spell, and you can’t use a mind crystal and a Metamagic option on the same spell. Once you use a mind crystal, it becomes a nonmagical gem worth 50 gp.|||Careful (Uncommon). Choose up to three creatures affected by the spell. The chosen creatures automatically succeed on their saving throws against the spell.|||Distant (Uncommon). If the spell has a range of 5 feet or more and doesn’t have a range of self, the spell’s range increases by 100 feet. If the spell has a range of touch, its range becomes 30 feet.|||Empowered (Uncommon). When you roll damage for the spell, you can reroll up to three damage dice. You must use the new rolls.|||Extended (Uncommon). If the spell has a duration of 1 minute or longer, double the spell’s duration, to a maximum duration of 24 hours.|||Heightened (Rare). Choose one creature affected by the spell. That creature has disadvantage on the first saving throw it makes against the spell.|||Quickened (Rare). You change the spell’s casting time to 1 bonus action for this casting.|||Subtle (Common). You cast the spell without any somatic or verbal components for this casting."
192,Mithral Armor,4,"Armor (medium or heavy), uncommon","Mithral is a light, flexible metal. A mithral chain shirt or breastplate can be worn under normal clothes. If the armor normally imposes disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn't."
193,Mizzium Apparatus,15,"Wondrous item, uncommon (requires attunement by a sorcerer, warlock, or wizard)","Innovation is a dangerous pursuit, at least the way the mages of the Izzet League engage in it. As protection against the risk of an experiment going awry, they have developed a device to help channel and control their magic. This apparatus is a collection of leather straps, flexible tubing, glass cylinders, and plates, bracers, and fittings made from a magic-infused metal alloy called mizzium, all assembled into a harness. The item weighs 8 pounds.|||While you are wearing the mizzium apparatus, you can use it as an arcane focus. In addition, you can attempt to cast a spell that you do not know or have prepared. The spell you choose must be on your class's spell list and of a level for which you have a spell slot, and you must provide the spell's components.|||You expend a spell slot to cast the spell as normal, but before resolving it you must make an Intelligence (Arcana) check. The DC is 10 + twice the level of the spell slot you expend to cast the spell.|||On a successful check, you cast the spell as normal, using your spell save DC and spellcasting ability modifier. On a failed check, you cast a different spell from the one you intended. Randomly determine the spell you cast by rolling on the table for the level of the spell slot you expended. If the slot is 6th level or higher, roll on the table for 5th-level spells.|||If you try to cast a cantrip you don't know, the DC for the Intelligence (Arcana) check is 10, and on a failed check, there is no effect.||||||1st-Level Spells|||d6,Spell|||1,Burning Hands|||2,Chaos Bolt|||3,Color Spray|||4,Faerie Fire|||5,Fog Cloud|||6,Thunderwave|||2nd-Level Spells|||d6,Spell|||1,Blur|||2,Gust of Wind|||3,Heat Metal|||4,Melf's Acid Arrow|||5,Scorching Ray|||6,Shatter|||3rd-Level Spells|||d6,Spell|||1,Fear,|||2,Feign Death|||3,Fireball|||4,Gaseous Form|||5,Sleet Storm|||6,Stinking Cloud|||4th-Level Spells|||d4,Spell|||1,Confusion|||2,Conjure Minor Elementals|||3,Evard's Black Tentacles|||4,Ice Storm|||5th-Level Spells|||d4,Spell|||1,Animate Objects|||2,Cloudkill|||3,Cone of Cold|||4,Flame Strike|||"
194,Moon Sickle,9,"Weapon (sickle), uncommon (+1), rare (+2), very rare (+3) (requires attunement by a druid or ranger)","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a bonus to attack and damage rolls made with it, and you gain a bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. The bonus is determined by the weapon's rarity. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.|||When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle."
195,Mummy Rot Antidote,73,"Potion, uncommon","White dust swirls constantly within this pale gray potion. When you drink the potion, it cures you of mummy rot."
196,Nature's Mantle,9,"Wondrous item, uncommon (requires attunement by a druid or ranger)","This cloak shifts color and texture to blend with the terrain surrounding you. While wearing the cloak, you can use it as a spellcasting focus for your druid and ranger spells.|||While you are in an area that is lightly obscured, you can Hide as a bonus action even if you are being directly observed."
197,Necklace of Adaptation,4,"Wondrous item, uncommon (requires attunement)","While wearing this necklace, you can breathe normally in any environment, and you have advantage on saving throws made against harmful gases and vapors (such as Cloudkill and Stinking Cloud effects, inhaled poisons, and the breath weapons of some dragons)."
198,Night Caller,30,"Wondrous item, uncommon","This whistle is carved from transparent crystal, and it resembles a tiny dragon curled up like a snail. The name Night Caller is etched on the whistle in Dwarvish runes. If a character succeeds on a DC 20 Intelligence (Arcana or History) check, the character recalls lore that says the duergar made several such whistles for various groups in an age past.|||If you blow the whistle in darkness or under the night sky, it allows you to cast the Animate Dead spell. The target can be affected through up to 10 feet of soft earth or similar material, and if it is, it takes 1 minute to claw its way to the surface to serve you. Once the whistle has animated an undead creature, it can't do so again until 7 days have passed.|||Once every 24 hours, you can blow the whistle to reassert control over one or two creatures you animated with it"
199,Oil of Slipperiness,4,"Potion, uncommon","This sticky black unguent is thick and heavy in the container, but it flows quickly when poured. The oil can cover a Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of a Freedom of Movement spell for 8 hours.|||Alternatively, the oil can be poured on the ground as an action, where it covers a 10-foot square, duplicating the effect of the Grease spell in that area for 8 hours."
200,Paper Bird,32,"Wondrous item, uncommon","After you write a message of fifty words or fewer on this magic sheet of parchment and speak a creature's name, the parchment magically folds into a Tiny paper bird and flies to the recipient whose name you uttered. The recipient must be on the same plane of existence as you, otherwise the bird turns into ash as it takes flight.|||The bird is an object that has 1 hit point, an Armor Class of 13, a flying speed of 60 feet, a Dexterity of 16 (+3), and a score of 1 (-5) in all other abilities, and it is immune to poison and psychic damage.|||It travels to within 5 feet of its intended recipient by the most direct route, whereupon it turns into a nonmagical and inanimate sheet of parchment that can be unfolded only by the intended recipient. If the bird's hit points or speed is reduced to 0 or if it is otherwise immobilized, it turns into ash.|||Paper Birds usually come in small, flat boxes containing 1d6 + 3 sheets of the parchment."
201,Pearl of Power,4,"Wondrous item, uncommon (requires attunement by a spellcaster)","While this pearl is on your person, you can use an action to speak its command word and regain one expended spell slot. If the expended slot was of 4th level or higher, the new slot is 3rd level. Once you have used the pearl, it can't be used again until the next dawn."
202,Periapt of Health,4,"Wondrous item, uncommon","You are immune to contracting any disease while you wear this pendant. If you are already infected with a disease, the effects of the disease are suppressed while you wear the pendant."
203,Periapt of Wound Closure,4,"Wondrous item, uncommon (requires attunement)","While you wear this pendant, you stabilize whenever you are dying at the start of your turn. In addition, whenever you roll a Hit Die to regain hit points, double the number of hit points it restores."
204,Philter of Love,4,"Potion, uncommon","The next time you see a creature within 10 minutes after drinking this philter, you become charmed by that creature for 1 hour. If the creature is of a species and gender you are normally attracted to, you regard it as your true love while you are charmed. This potion's rose-hued, effervescent liquid contains one easy-to-miss bubble shaped like a heart."
205,Pipes of Haunting,4,"Wondrous item, uncommon","You must be proficient with wind instruments to use these pipes. They have 3 charges. You can use an action to play them and expend 1 charge to create an eerie, spellbinding tune. Each creature within 30 feet of you that hears you play must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. If you wish, all creatures in the area that aren't hostile toward you automatically succeed on the saving throw. A creature that fails the saving throw can repeat it at the end of each of its turns, ending the effect on itself on a success. A creature that succeeds on its saving throw is immune to the effect of these pipes for 24 hours. The pipes regain 1d3 expended charges daily at dawn."
206,Pipes of the Sewers,4,"Wondrous item, uncommon (requires attunement)","You must be proficient with wind instruments to use these pipes. While you are attuned to the pipes, ordinary rats and giant rats are indifferent toward you and will not attack you unless you threaten or harm them.|||The pipes have 3 charges. If you play the pipes as an action, you can use a bonus action to expend 1 to 3 charges, calling forth one swarm of rats (see the Monster Manual for statistics) with each expended charge, provided that enough rats are within half a mile of you to be called in this fashion (as determined by the DM). If there aren't enough rats to form a swarm, the charge is wasted. Called swarms move toward the music by the shortest available route but aren't under your control otherwise. The pipes regain 1d3 expended charges daily at dawn.|||Whenever a swarm of rats that isn't under another creature's control comes within 30 feet of you while you are playing the pipes, you can make a Charisma check contested by the swarm's Wisdom check. If you lose the contest, the swarm behaves as it normally would and can't be swayed by the pipes' music for the next 24 hours. If you win the contest, the swarm is swayed by the pipes' music and becomes friendly to you and your companions for as long as you continue to play the pipes each round as an action. A friendly swarm obeys your commands. If you issue no commands to a friendly swarm, it defends itself but otherwise takes no actions. If a friendly swarm starts its turn and can't hear the pipes' music, your control over that swarm ends, and the swarm behaves as it normally would and can't be swayed by the pipes' music for the next 24 hours."
207,Piwafwi,27,"Wondrous item, uncommon (requires attunement)",This dark spider-silk cloak is made by drow. It is a Cloak of Elvenkind. It loses its magic if exposed to sunlight for 1 hour without interruption.
208,Pixie Dust,41,"Wondrous Item, Uncommon","As an action, you can sprinkle this dust on yourself or another creature you can see within 5 feet of you. The recipient gains a flying speed of 30 feet and the ability to hover for 1 minute. If the creature is airborne when this effect ends, it falls safely to the ground, taking no damage and landing on its feet.|||A small packet holds enough pixie dust for one use."
209,Plate Of Knight's Fellowship,13,"Armor (plate), uncommon (requires attunement)","This gleaming set of silver-and-gold plate armor never tarnishes.|||While wearing this armor, you can use a bonus action to summon the spirit of a warrior to your aid. The spirit’s corporeal form manifests in an unoccupied space of your choice within 30 feet of you, and it uses the knight stat block. The spirit disappears when it drops to 0 hit points or after 1 minute, whichever comes first.|||The spirit is an ally to you and your companions. In combat, the spirit shares your initiative count but takes its turn immediately after yours. The spirit obeys your commands (no action required by you); if you don’t issue any commands, the spirit takes the Dodge action and uses its movement to avoid danger.|||Once this bonus action is used, it can’t be used again until the next dawn."
210,Portal Compass,23,"Wondrous item, Uncommon","This portable arcane instrument points in the direction of the last portal it passed through while it and the portal are on the same plane of existence. If that portal no longer exists, the needle becomes static until the compass passes through a new portal."
211,Potion of Advantage,41,"Potion, Uncommon","When you drink this potion, you gain advantage on one ability check, attack roll, or saving throw of your choice that you make within the next hour.|||This potion takes the form of a sparkling, golden mist that moves and pours like water"
212,Potion of Animal Friendship,4,"Potion, uncommon","When you drink this potion, you can cast the Animal Friendship spell (save DC 13) for 1 hour at will. Agitating this muddy liquid brings little bits into view: a fish scale, a hummingbird tongue, a cat claw, or a squirrel hair."
213,Potion of Fire Breath,4,"Potion, uncommon","After drinking this potion, you can use a bonus action to exhale fire at a target within 30 feet of you. The target must make a DC 13 Dexterity saving throw, taking 4d6 fire damage on a failed save, or half as much damage on a successful one. The effect ends after you exhale the fire three times or when 1 hour has passed.|||This potion's orange liquid flickers, and smoke fills the top of the container and wafts out whenever it is opened."
214,Potion of Giant Strength,4,"Potion, rarity varies","When you drink this potion, your Strength score changes for 1 hour. The type of giant determines the score (see the table below). This potion has no effect on you if your Strength is equal to or greater than that score.|||This potion's transparent liquid has floating in it a sliver of fingernail from a giant of the appropriate type. The potion of frost giant strength and the potion of stone giant strength have the same effect.||||||Type of Giant,Strength,Rarity|||Hill Giant,21,Uncommon|||Frost/Stone Giant,23,Rare|||Fire Giant,25,Rare|||Cloud Giant,27,Rare|||Storm Giant,29,Legendary|||"
215,Potion of Growth,4,"Potion, uncommon","When you drink this potion, you gain the ""enlarge"" effect of the Enlarge/Reduce spell for 1d4 hours (no concentration required). The red in the potion's liquid continuously expands from a tiny beat to color the clear liquid around it and then contracts. Shaking the bottle fails to interrupt this process."
216,Potion of Healing,4,"Potion, rarity varies","You regain hit points when you drink this potion. The number of hit points depends on the potion's rarity, as shown in the Potions of Healing table. Whatever its potency, the potion's red liquid glimmers when agitated.||||||Potions of Healing|||Potion of …,Rarity,HP Regained|||Healing,Common,2d4 + 2|||Greater healing,Uncommon,4d4 + 4|||Superior healing,Rare,8d4 + 8|||Supreme healing,Very rare,10d4 + 20|||"
217,Potion of Poison,4,"Potion, uncommon","This concoction looks, smells, and tastes like a Potion of Healing or other beneficial potion. However, it is actually poison masked by illusion magic. An Identify spell reveals its true nature.|||If you drink it, you take 3d6 poison damage, and you must succeed on a DC 13 Constitution saving throw or be poisoned. At the start of each of your turns while you are poisoned in this way, you take 3d6 poison damage. At the end of each of your turns, you can repeat the saving throw. On a successful save, the poison damage you take on your subsequent turns decreases by 1d6. The poison ends when the damage decreases to 0."
218,Potion of Psionic Fortitude,48,"Potion, Uncommon","When you drink this potion, you have advantage for 1 hour on saving throws you make to avoid or end the charmed or stunned condition on yourself.|||This black potion swirls with shimmering flecks of pink and purple."
219,Potion of Resistance,4,"Potion, uncommon","When you drink this potion, you gain resistance to one type of damage for 1 hour. The DM chooses the type or determines it randomly from the options below.||||||d10,Damage Type|||1,Acid|||2,Cold|||3,Fire|||4,Force|||5,Lightning|||6,Necrotic|||7,Poison|||8,Psychic|||9,Radiant|||10,Thunder|||"
220,Potion of Water Breathing,4,"Potion, uncommon",You can breathe underwater for 1 hour after drinking this potion. Its cloudy green fluid smells of the sea and has a jellyfish-like bubble floating in it.
221,Prehistoric Figurines of Wondrous Power,12,"Wondrous Item, Varies","Larger and more roughly hewn than typical figurines of wondrous power, these statuettes depict dinosaurs and related creatures from the earliest days of the world.|||As an action, you can throw a prehistoric figurine of wondrous power to a point on the ground within 60 feet of yourself while speaking a command word, whereupon the figurine magically transforms into a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn’t enough space for the creature, the figurine doesn’t become a creature.|||The creature is friendly to you and your companions. It understands your languages and obeys your spoken commands. If you issue no commands, the creature defends itself but takes no other actions. See the Monster Manual for the creature’s statistics.|||The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its statuette form. It reverts to a figurine early if it drops to 0 hit points or if you use an action to speak the command word again while touching it. When the creature becomes a figurine again, its property can’t be used again until a certain amount of time has passed, as specified in the figurine’s description.|||Carnelian Triceratops (Very Rare). This figurine becomes a triceratops for up to 6 hours and can be ridden as a mount. Once it has been used, it can’t be used again until 10 days have passed.|||Jasper Tyrannosaurus Rex (Legendary). This figurine, crafted from rare green jasper, becomes a tyrannosaurus rex for up to 1 hour. Once it has been used, it can’t be used again until 14 days have passed.|||Whenever you command the figurine while it’s in tyrannosaurus rex form (including commanding it to revert to figurine form), you must roll a d20. On a 1, you lose control of the figurine, and it becomes hostile to you and your companions until it is reduced to 0 hit points, at which point it reverts to figurine form.|||Kyanite Pteranodon (Rare). This figurine becomes a pteranodon for up to 8 hours. If your size is Medium or smaller, you can ride the pteranodon as a mount. Once it has been used, it can’t be used again until 7 days have passed.|||Pyrite Plesiosaurus (Uncommon). This figurine becomes a plesiosaurus for up to 12 hours and can be ridden as a mount. Once it has been used, it can’t be used again until 4 days have passed.|||While you are riding the plesiosaurus, you can use it to cast Water Breathing at will."
222,Prismari Primer,21,"Wondrous Item, Uncommon (Requires Attunement by a Spellcaster)","The Prismari Primer is a magic textbook created at Strixhaven's Prismari College. The primer has 3 charges, and it regains 1d3 expended charges daily at dawn. If you make a Dexterity (Acrobatics) or a Charisma (Performance) check while holding the primer, you can expend 1 charge to give yourself a 1d4 bonus to the check, immediately after you roll the d20.|||In addition, if you study the primer at the end of a long rest, you can choose one 1st-level spell from the Bard or Sorcerer spell list. Before you finish your next long rest, you can cast the chosen spell once without a spell slot if you are holding the primer. Your spellcasting ability for this spell is your choice of Intelligence, Wisdom, or Charisma."
223,Psi Crystal,39,"Wondrous item, uncommon (requires attunement by a creature with an Intelligence score of 3 or higher)","This crystal grants you telepathy for as long as you remain attuned to it. See the introduction of the Monster Manual for rules on how this telepathy works. The crystal also glows with a purplish inner light while you are attuned to it. The higher your intelligence, the greater the light's intensity and the greater the range of the telepathy (see the Psi Crystal Properties table).||||||Psi Crystal Properties|||Intelligence Score,Range of Telepathy,Light Intensity|||3-7,15 feet,Dim light out to a range of 5 feet|||8-11,30 feet,Bright light in a 5-foot radius and dim light for an additional 5 feet|||12-15,60 feet,Bright light in a 10-foot radius and dim light for an additional 10 feet|||16 or higher,120 feet,Bright light in a 15-foot radius and dim light for an additional 15 feet|||"
224,Pyroconverger,15,"Wondrous item, uncommon (requires attunement)","A pyroconverger is an Izzet-made flamethrower. It carries a risk of malfunction each time you use it.|||As an action, you can cause the pyroconverger to project fire in a 10-foot cone. Each creature in that area must make a DC 13 Dexterity saving throw, taking 4d6 fire damage on a failed save, or half as much damage on a successful one.|||Each time you use the pyroconverger, roll a d10 and add the number of times you have used it since your last long rest. If the total is 11 or higher, the pyroconverger malfunctions: you take 4d6 fire damage, and you can't use the pyroconverger again until you finish a long rest."
225,Quandrix Primer,21,"Wondrous Item, Uncommon (Requires Attunement by a Spellcaster)","The Quandrix Primer is a magic textbook created at Strixhaven's Quandrix College. The primer has 3 charges, and it regains 1d3 expended charges daily at dawn. If you make an Intelligence (Arcana) or an Intelligence (Nature) check while holding the primer, you can expend 1 charge to give yourself a 1d4 bonus to the check, immediately after you roll the d20.|||In addition, if you study the primer at the end of a long rest, you can choose one 1st-level spell from the Druid or Wizard spell list. Before you finish your next long rest, you can cast the chosen spell once without a spell slot if you are holding the primer. Your spellcasting ability for this spell is your choice of Intelligence, Wisdom, or Charisma."
226,Quiver of Ehlonna,4,"Wondrous item, uncommon","Each of the quiver's three compartments connects to an extradimensional space that allows the quiver to hold numerous items while never weighing more than 2 pounds. The shortest compartment can hold up to sixty arrows, bolts, or similar objects. The midsize compartment holds up to eighteen javelins or similar objects. The longest compartment holds up to six long objects, such as bows, quarterstaffs, or spears.|||You can draw any item the quiver contains as if doing so from a regular quiver or scabbard."
227,Rhythm Maker's Drum,9,"Wondrous item, uncommon (+1), rare (+2), very rare (+3) (requires attunement by a bard)","While holding this drum, you gain a bonus to spell attack rolls and to the saving throw DCs of your bard spells. The bonus is determined by the drum's rarity.|||As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn."
228,Ring of Jumping,4,"Ring, uncommon (requires attunement)","While wearing this ring, you can cast the Jump spell from it as a bonus action at will, but can target only yourself when you do so."
229,Ring of Mind Shielding,4,"Ring, uncommon (requires attunement)","While wearing this ring, you are immune to magic that allows other creatures to read your thoughts, determine whether you are lying, know your alignment, or know your creature type. Creatures can telepathically communicate with you only if you allow it.|||You can use an action to cause the ring to become invisible until you use another action to make it visible, until you remove the ring, or until you die.|||If you die while wearing the ring, your soul enters it, unless it already houses a soul. You can remain in the ring or depart for the afterlife. As long as your soul is in the ring, you can telepathically communicate with any creature wearing it. A wearer can't prevent this telepathic communication."
230,Ring of Obscuring,18,"Ring, uncommon (requires attunement)","This band of iron resembles a skull and is cold to the touch. It has 3 charges and regains 1d3 expended charges daily at dawn. As an action while wearing the ring, you can expend 1 of its charges to cast the Fog Cloud spell from it, with the following changes: the cloud is centered on you when it first appears, and the spell lasts for 1 minute (no concentration required)."
231,Ring Of Puzzler's Wit,13,"Ring, uncommon","This gold ring bears a fluorite stone and is enchanted to sharpen the wearer’s mind.|||The ring has 3 charges and regains 1d4 − 1 expended charges daily at dawn. When you make an Intelligence check, you can expend 1 charge to grant yourself advantage on the check."
232,Ring of Swimming,4,"Ring, uncommon",You have a swimming speed of 40 feet while wearing this ring.
233,Ring of the Orator,48,"Ring, Uncommon (Requires Attunement)","This ring has 6 charges. While you wear it, you can expend 1 of its charges to project your voice to be heard clearly by all creatures within 1 mile of yourself, regardless of intervening noise, for 1 minute. Magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks this projection. If you project your voice while speaking a language the listening creatures don’t understand, you can make the creatures understand what you’re saying. You must be able to see the creatures to make them understand. The ring regains 1d6 expended charges daily at dawn."
234,Ring of Truth Telling,32,"Ring, uncommon (requires attunement)","While wearing this ring, you have advantage on Wisdom (Insight) checks to determine whether someone is lying to you."
235,Ring of Warmth,4,"Ring, uncommon (requires attunement)","While wearing this ring, you have resistance to cold damage. In addition, you and everything you wear and carry are unharmed by temperatures as low as -50 degrees Fahrenheit."
236,Ring of Water Walking,4,"Ring, uncommon","While wearing this ring, you can stand on and move across any liquid surface as if it were solid ground."
