id,name,type,actions,ac,hp,spd,str,dex,con,int,wis,cha,extras,senses,languages,cr,source,image
194,"Hook Horror","Large monstrosity, neutral","Echolocation. The hook horror can't use its blindsight while deafened.|||Keen Hearing. The hook horror has advantage on Wisdom (Perception) checks that rely on hearing.|||Multiattack. The hook horror makes two hook attacks.|||Hook. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) piercing damage.","15 (natural armor)","75 (10d10 + 20)"," 30 ft., climb 30 ft.","18 (+4)","10 (+0)","15 (+2)","6 (-2)","12 (+1)","7 (-2)","Skills: Perception +3|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 13","Hook Horror","3 (700 XP)",5,https://www.aidedd.org/dnd/images/hook-horror.jpg
195,"Horned Devil","Large fiend (Devil), lawful evil","Devil's Sight. Magical darkness doesn't impede the devil's darkvision.|||Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.|||Multiattack. The devil makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack.|||Fork. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 15 (2d8 + 6) piercing damage.|||Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 10 (1d8 + 6) piercing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 17 Constitution saving throw or lose 10 (3d6) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 10 (3d6). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.|||Hurl Flame. Ranged Spell Attack: +7 to hit, range 150 ft., one target. Hit: 14 (4d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire.","18 (natural armor)","178 (17d10 + 85)"," 20 ft., fly 60 ft.","22 (+6)","17 (+3)","21 (+5)","12 (+1)","16 (+3)","17 (+3)","Saving Throws: Str +10, Dex +7, Wis +7, Cha +7|||Damage Resistances: cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons|||Damage Immunities: fire, poison|||Condition Immunities: poisoned|||"," darkvision 120 ft., passive Perception 13"," Infernal, telepathy 120 ft.","11 (7200 XP)",5,https://www.aidedd.org/dnd/images/horned-devil.jpg
196,"Hunter Shark","Large beast, unaligned","Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points.|||Water Breathing. The shark can breathe only underwater.|||Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.","12 (natural armor)","45 (6d10 + 12)"," 0 ft., swim 40 ft.","18 (+4)","13 (+1)","15 (+2)","1 (-5)","10 (+0)","4 (-3)","Skills: Perception +2|||"," blindsight 30 ft., passive Perception 12","—","2 (450 XP)",5,""
197,Hydra,"Huge monstrosity, unaligned","Hold Breath. The hydra can hold its breath for 1 hour.|||Multiple Heads. The hydra has five heads. While it has more than one head, the hydra has advantage on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious. Whenever the hydra takes 25 or more damage in a single turn, one of its heads dies. If all its heads die, the hydra dies. At the end of its turn, it grows two heads for each of its heads that died since its last turn, unless it has taken fire damage since its last turn. The hydra regains 10 hit points for each head regrown in this way.|||Reactive Heads. For each head the hydra has beyond one, it gets an extra reaction that can be used only for opportunity attacks.|||Wakeful. While the hydra sleeps, at least one of its heads is awake.|||Multiattack. The hydra makes as many bite attacks as it has heads.|||Bite. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 10 (1d10 + 5) piercing damage.","15 (natural armor)","172 (15d12 + 75)"," 30 ft., swim 30 ft.","20 (+5)","12 (+1)","20 (+5)","2 (-4)","10 (+0)","7 (-2)","Skills: Perception +6|||"," darkvision 60 ft., passive Perception 16","—","8 (3900 XP)",5,https://www.aidedd.org/dnd/images/hydra.jpg
198,Hyena,"Medium beast, unaligned","Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated.|||Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.",11,"5 (1d8 + 1)","50 ft.","11 (+0)","13 (+1)","12 (+1)","2 (-4)","12 (+1)","5 (-3)","Skills: Perception +3|||","passive Perception 13","—","0 (10 XP)",5,https://www.aidedd.org/dnd/images/hyena.jpg
199,"Ice Devil","Large fiend (Devil), lawful evil","Devil's Sight. Magical darkness doesn't impede the devil's darkvision.|||Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.|||Multiattack. The devil makes three attacks: one with its bite, one with its claws, and one with its tail.|||Bite. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) piercing damage plus 10 (3d6) cold damage.|||Claws. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 10 (2d4 + 5) slashing damage plus 10 (3d6) cold damage.|||Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage plus 10 (3d6) cold damage.|||Wall of Ice (Recharge 6). The devil magically forms an opaque wall of ice on a solid surface it can see within 60 feet of it. The wall is 1 foot thick and up to 30 feet long and 10 feet high, or it's a hemispherical dome up to 20 feet in diameter. When the wall appears, each creature in its space is pushed out of it by the shortest route. The creature chooses which side of the wall to end up on, unless the creature is incapacitated. The creature then makes a DC 17 Dexterity saving throw, taking 35 (10d6) cold damage on a failed save, or half as much damage on a successful one. The wall lasts for 1 minute or until the devil is incapacitated or dies. The wall can be damaged and breached; each 10-foot section has AC 5, 30 hit points, vulnerability to fire damage, and immunity to acid, cold, necrotic, poison, and psychic damage. If a section is destroyed, it leaves behind a sheet of frigid air in the space the wall occupied. Whenever a creature finishes moving through the frigid air on a turn, willingly or otherwise, the creature must make a DC 17 Constitution saving throw, taking 17 (5d6) cold damage on a failed save, or half as much damage on a successful one. The frigid air dissipates when the rest of the wall vanishes.","18 (natural armor)","180 (19d10 + 76)","40 ft.","21 (+5)","14 (+2)","18 (+4)","18 (+4)","15 (+2)","18 (+4)","Saving Throws: Dex +7, Con +9, Wis +7, Cha +9|||Damage Resistances: bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered|||Damage Immunities: cold, fire, poison|||Condition Immunities: poisoned|||"," blindsight 60 ft., darkvision 120 ft., passive Perception 12"," Infernal, telepathy 120 ft.","14 (11500 XP)",5,https://www.aidedd.org/dnd/images/ice-devil.jpg
200,"Ice Mephit","Small elemental, neutral evil","Death Burst. When the mephit dies, it explodes in a burst of jagged ice. Each creature within 5 feet of it must make a DC 10 Dexterity saving throw, taking 4 (1d8) slashing damage on a failed save, or half as much damage on a successful one.|||False Appearance. While the mephit remains motionless, it is indistinguishable from an ordinary shard of ice.|||Innate Spellcasting (1/Day). The mephit can innately cast fog cloud, requiring no material components. Its innate spellcasting ability is Charisma.|||Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) slashing damage plus 2 (1d4) cold damage.|||Frost Breath (Recharge 6). The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw, taking 5 (2d4) cold damage on a failed save, or half as much damage on a successful one.",11,"21 (6d6)"," 30 ft., fly 30 ft.","7 (-2)","13 (+1)","10 (+0)","9 (-1)","11 (+0)","12 (+1)","Skills: Perception +2, Stealth +3|||Damage Vulnerabilities: bludgeoning, fire|||Damage Immunities: cold, poison|||Condition Immunities: poisoned|||"," darkvision 60 ft., passive Perception 12"," Aquan, Auran","1/2 (100 XP)",5,https://www.aidedd.org/dnd/images/ice-mephit.jpg
201,Imp,"Tiny fiend (Devil, Shapechanger), lawful evil","Shapechanger. The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.), a raven (20 ft., fly 60 ft.), or a spider (20 ft., climb 20 ft.), or back into its true form. Its statistics are the same in each form, except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.|||Devil's Sight. Magical darkness doesn't impede the imp's darkvision.|||Magic Resistance. The imp has advantage on saving throws against spells and other magical effects.|||Sting (Bite in Beast Form). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage, and the target must make on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.|||Invisibility. The imp magically turns invisible until it attacks or until its concentration ends (as if concentrating on a spell). Any equipment the imp wears or carries is invisible with it.",13,"10 (3d4 + 3)"," 20 ft., fly 40 ft.","6 (-2)","17 (+3)","13 (+1)","11 (+0)","12 (+1)","14 (+2)","Skills: Deception +4, Insight +3, Persuasion +4, Stealth +5|||Damage Resistances: cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons|||Damage Immunities: fire, poison|||Condition Immunities: poisoned|||"," darkvision 120 ft., passive Perception 11"," Infernal, Common","1 (200 XP)",5,https://www.aidedd.org/dnd/images/imp.jpg
202,"Intellect Devourer","Tiny aberration, lawful evil","Detect Sentience. The intellect devourer can sense the presence and location of any creature within 300 feet of it that has an Intelligence of 3 or higher, regardless of interposing barriers, unless the creature is protected by a mind blank spell.|||Multiattack. The intellect devourer makes one attack with its claws and uses Devour Intellect.|||Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.|||Devour Intellect. The intellect devourer targets one creature it can see within 10 feet of it that has a brain. The target must succeed on a DC 12 Intelligence saving throw against this magic or take 11 (2d10) psychic damage. Also on a failure, roll 3d6: If the total equals or exceeds the target's Intelligence score, that score is reduced to 0. The target is stunned until it regains at least one point of Intelligence.|||Body Thief. The intellect devourer initiates an Intelligence contest with an incapacitated humanoid within 5 feet of it. If it wins the contest, the intellect devourer magically consumes the target's brain, teleports into the target's skull, and takes control of the target's body. While inside a creature, the intellect devourer has total cover against attacks and other effects originating outs ide its host. The intellect devourer retains its Intelligence, Wisdom, and Charisma scores, as well as its understanding of Deep Speech, its telepathy, and its traits. It otherwise adopts the target's statistics. It knows everything the creature knew, including spells and languages. If the host body drops to 0 hit points, the intellect devourer must leave it. A protection from evil and good spell cast on the body drives the intellect devourer out. The intellect devourer is also forced out if the target regains its devoured brain by means of a wish. By spending 5 feet of its movement, the intellect devourer can voluntarily leave the body, teleporting to the nearest unoccupied space within 5 feet of it. The body then dies, unless its brain is restored within 1 round.",12,"21 (6d4 + 6)","40 ft.","6 (-2)","14 (+2)","13 (+1)","12 (+1)","11 (+0)","10 (+0)","Skills: Perception +2, Stealth +4|||Damage Resistances: bludgeoning, piercing, and slashing from nonmagical attacks|||Condition Immunities: blinded|||"," blindsight 60 ft. (blind beyond this radius), passive Perception 12"," understands Deep Speech but can 't speak, telepathy 60 ft.","2 (450 XP)",5,https://www.aidedd.org/dnd/images/intellect-devorer.jpg
203,"Invisible Stalker","Medium elemental, neutral","Invisibility. The stalker is invisible.|||Faultless Tracker. The stalker is given a quarry by its summoner. The stalker knows the direction and distance to its quarry as long as the two of them are on the same plane of existence. The stalker also knows the location of its summoner.|||Multiattack. The stalker makes two slam attacks.|||Slam. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage.",14,"104 (16d8 + 32)"," 50 ft., fly 50 ft. (hover)","16 (+3)","19 (+4)","14 (+2)","10 (+0)","15 (+2)","11 (+0)","Skills: Perception +8, Stealth +10|||Damage Resistances: bludgeoning, piercing, and slashing from nonmagical attacks|||Damage Immunities: poison|||Condition Immunities: exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious|||"," darkvision 60 ft., passive Perception 18"," Auran, understands Common but doesn't speak it","6 (2300 XP)",5,https://www.aidedd.org/dnd/images/invisible-stalker.jpg
204,"Iron Golem","Large construct, unaligned","Fire Absorption. Whenever the golem is subjected to fire damage, it takes no damage and instead regains a number of hit points equal to the fire damage dealt.|||Immutable Form. The golem is immune to any spell or effect that would alter its form.|||Magic Resistance. The golem has advantage on saving throws against spells and other magical effects.|||Magic Weapons. The golem's weapon attacks are magical.|||Multiattack. The golem makes two melee attacks.|||Slam. Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.|||Sword. Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 23 (3d10 + 7) slashing damage.|||Poison Breath (Recharge 6). The golem exhales poisonous gas in a 15-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 45 (10d8) poison damage on a failed save, or half as much damage on a successful one.","20 (natural armor)","210 (20d10 + 100)","30 ft.","24 (+7)","9 (-1)","20 (+5)","3 (-4)","11 (+0)","1 (-5)","Damage Immunities: fire, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine|||Condition Immunities: charmed, exhaustion, frightened, paralyzed, petrified, poisoned|||"," darkvision 120 ft., passive Perception 10","understands the languages of its creator but can't speak","16 (15000 XP)",5,https://www.aidedd.org/dnd/images/iron-golem.jpg
205,Jackal,"Small beast, unaligned","Keen Hearing and Smell. The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell.|||Pack Tactics. The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 feet of the creature and the ally isn't incapacitated.|||Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.",12,"3 (1d6)","40 ft.","8 (-1)","15 (+2)","11 (+0)","3 (-4)","12 (+1)","6 (-2)","Skills: Perception +3|||","passive Perception 13","—","0 (10 XP)",5,""
206,Jackalwere,"Medium humanoid (Shapechanger), chaotic evil","Shapechanger. The jackalwere can use its action to polymorph into a specific Medium human or a jackal-humanoid hybrid, or back into its true form (that of a Small jackal). Other than its size, its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.|||Keen Hearing and Smell. The jackalwere has advantage on Wisdom (Perception) checks that rely on hearing or smell.|||Pack Tactics. The jackalwere has advantage on an attack roll against a creature if at least one of the jackalwere's allies is within 5 feet of the creature and the ally isn't incapacitated.|||Bite (Jackal or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.|||Scimitar (Human or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.|||Sleep Gaze. The jackalwere gazes at one creature it can see within 30 feet of it. The target must make a DC 10 Wisdom saving throw. On a failed save, the target succumbs to a magical slumber, falling unconscious for 10 minutes or until someone uses an action to shake the target awake. A creature that successfully saves against the effect is immune to this jackalwere's gaze for the next 24 hours. Undead and creatures immune to being charmed aren't affected by it.",12,"18 (4d8)","40 ft.","11 (+0)","15 (+2)","11 (+0)","13 (+1)","11 (+0)","10 (+0)","Skills: Deception +4, Perception +2, Stealth +4|||Immunities bludgeoning, piercing, and slashing damage from nonmagical attacks that aren't silvered:|||","passive Perception 12","Common (can't speak in jackal form)","1/2 (100 XP)",5,https://www.aidedd.org/dnd/images/jackalwere.jpg
207,Kenku,"Medium humanoid (Kenku), chaotic neutral","Ambusher. In the first round of a combat, the kenku has advantage on attack rolls against any creature it surprised.|||Mimicry. The kenku can mimic any sounds it has heard, including voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check.|||Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.|||Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",13,"13 (3d8)","30 ft.","10 (+0)","16 (+3)","10 (+0)","11 (+0)","10 (+0)","10 (+0)","Skills: Deception +4, Perception +2, Stealth +5|||","passive Perception 12","understands Auran and Common but speaks only through the use of its Mimicry trait","1/4 (50 XP)",5,https://www.aidedd.org/dnd/images/kenku.jpg
208,"Killer Whale","Huge beast, unaligned","Echolocation. The whale can't use its blindsight while deafened.|||Hold Breath. The whale can hold its breath for 30 minutes.|||Keen Hearing. The whale has advantage on Wisdom (Perception) checks that rely on hearing.|||Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 21 (5d6 + 4) piercing damage.","12 (natural armor)","90 (12d12 + 12)"," 0 ft., swim 60 ft.","19 (+4)","10 (+0)","13 (+1)","3 (-4)","12 (+1)","7 (-2)","Skills: Perception +3|||"," blindsight 120 ft., passive Perception 13","—","3 (700 XP)",5,""
209,Knight,"Medium humanoid (any race), any alignment","Brave. The knight has advantage on saving throws against being frightened.|||Multiattack. The knight makes two melee attacks.|||Greatsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.|||Heavy Crossbow. Ranged Weapon Attack: +2 to hit, range 100/400 ft., one target. Hit: 5 (1d10) piercing damage.|||Leadership (Recharges after a Short or Long Rest). For 1 minute, the knight can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the knight. A creature can benefit from only one Leadership die at a time. This effect ends if the knight is incapacitated.|||Parry. The knight adds 2 to its AC against one melee attack that would hit it. To do so, the knight must see the attacker and be wielding a melee weapon.","18 (plate)","52 (8d8 + 16)","30 ft.","16 (+3)","11 (+0)","14 (+2)","11 (+0)","11 (+0)","15 (+2)","Saving Throws: Con +4, Wis +2|||","passive Perception 10","any one language (usually Common)","3 (700 XP)",5,""
210,Kobold,"Small humanoid (Kobold), lawful evil","Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.|||Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated.|||Dagger. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.|||Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.",12,"5 (2d6 - 2)","30 ft.","7 (-2)","15 (+2)","9 (-1)","8 (-1)","7 (-2)","8 (-1)",""," darkvision 60 ft., passive Perception 8"," Common, Draconic","1/8 (25 XP)",5,https://www.aidedd.org/dnd/images/kobold.jpg
211,Kraken,"Gargantuan monstrosity (Titan), chaotic evil","Amphibious. The kraken can breathe air and water.|||Freedom of Movement. The kraken ignores difficult terrain, and magical effects can't reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled.|||Siege Monster. The kraken deals double damage to objects and structures.|||Multiattack. The kraken makes three tentacle attacks, each of which it can replace with one use of Fling.|||Bite. Melee Weapon Attack: +17 to hit, reach 5 ft., one target. Hit: 23 (3d8 + 10) piercing damage. If the target is a Large or smaller creature grappled by the kraken, that creature is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the kraken, and it takes 42 (12d6) acid damage at the start of each of the kraken's turns. If the kraken takes 50 damage or more on a single turn from a creature inside it, the kraken must succeed on a DC 25 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the kraken. If the kraken dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 15 feet of movement, exiting prone.|||Tentacle. Melee Weapon Attack: +17 to hit, reach 30 ft., one target. Hit: 20 (3d6 + 10) bludgeoning damage, and the target is grappled (escape DC 18). Until this grapple ends, the target is restrained. The kraken has ten tentacles, each of which can grapple one target.|||Fling. One Large or smaller object held or creature grappled by the kraken is thrown up to 60 feet in a random direction and knocked prone. If a thrown target strikes a solid surface, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 18 Dexterity saving throw or take the same damage and be knocked prone.|||Lightning Storm. The kraken magically creates three bolts of lightning, each of which can strike a target the kraken can see within 120 feet of it. A target must make a DC 23 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.|||The kraken can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The kraken regains spent legendary actions at the start of its turn.|||Tentacle Attack or Fling. The kraken makes one tentacle attack or uses its Fling.|||Lightning Storm (Costs 2 Actions). The kraken uses Lightning Storm.|||Ink Cloud (Costs 3 Actions). While underwater, the kraken expels an ink cloud in a 60-foot radius. The cloud spreads around corners, and that area is heavily obscured to creatures other than the kraken. Each creature other than the kraken that ends its turn there must succeed on a DC 23 Constitution saving throw, taking 16 (3d10) poison damage on a failed save, or half as much damage on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of the kraken's next turn.","18 (natural armor)","472 (27d20 + 189)"," 20 ft., swim 60 ft.","30 (+10)","11 (+0)","25 (+7)","22 (+6)","18 (+4)","20 (+5)","Saving Throws: Str +17, Dex +7, Con +14, Int +13, Wis +11|||Damage Immunities: lightning; bludgeoning, piercing, and slashing from nonmagical attacks|||Condition Immunities: frightened, paralyzed|||"," truesight 120 ft., passive Perception 14"," understands Abyssal, Celestial, Infernal, and Primordial but can't speak, telepathy 120 ft.","23 (50000 XP)",5,https://www.aidedd.org/dnd/images/kraken.jpg
212,Kuo-toa,"Medium humanoid (Kuo-toa), neutral evil","Amphibious. The kuo-toa can breathe air and water.|||Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.|||Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.|||Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.|||Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.|||Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.|||Net. Ranged Weapon Attack: +3 to hit, range 5/15 ft., one Large or smaller creature. Hit: The target is restrained. A creature can use its action to make a DC 10 Strength check to free itself or another creature in a net, ending the effect on a success. Dealing 5 slashing damage to the net (AC 10) frees the target without harming it and destroys the net.|||Sticky Shield. When a creature misses the kuo-toa with a melee weapon attack, the kuo-toa uses its sticky shield to catch the weapon. The attacker must succeed on a DC 11 Strength saving throw, or the weapon becomes stuck to the kuo-toa's shield. If the weapon's wielder can't or won't let go of the weapon, the wielder is grappled while the weapon is stuck. While stuck, the weapon can't be used. A creature can pull the weapon free by taking an action to make a DC 11 Strength check and succeeding."," 13 (natural armor, shield)","18 (4d8)"," 30 ft., swim 30 ft.","13 (+1)","10 (+0)","11 (+0)","11 (+0)","10 (+0)","8 (-1)","Skills: Perception +4|||"," darkvision 120 ft., passive Perception 14",Undercommon,"1/4 (50 XP)",5,https://www.aidedd.org/dnd/images/kuo-toa.jpg
213,"Kuo-toa Archpriest","Medium humanoid (Kuo-toa), neutral evil","Amphibious. The kuo-toa can breathe air and water.|||Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.|||Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.|||Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.|||Spellcasting. The kuo-toa is a 10th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 14, +6 to hit with spell attacks). The kuo-toa has the following cleric spells prepared:|||Multiattack. The kuo-toa makes two melee attacks.|||Scepter. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage plus 14 (4d6) lightning damage.|||Unarmed Strike. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage.","13 (natural armor)","97 (13d8 + 39)"," 30 ft., swim 30 ft.","16 (+3)","14 (+2)","16 (+3)","13 (+1)","16 (+3)","14 (+2)","Skills: Perception +9, Religion +6|||"," darkvision 120 ft., passive Perception 19",Undercommon,"6 (2300 XP)",5,https://www.aidedd.org/dnd/images/kuo-toa-archpriest.jpg
214,"Kuo-toa Whip","Medium humanoid (Kuo-toa), neutral evil","Amphibious. The kuo-toa can breathe air and water.|||Otherworldly Perception. The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.|||Slippery. The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.|||Sunlight Sensitivity. While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.|||Spellcasting. The kuo-toa is a 2nd-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The kuo-toa has the following cleric spells prepared:|||Multiattack. The kuo-toa makes two attacks: one with its bite and one with its pincer staff.|||Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.|||Pincer Staff. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 14). Until this grapple ends, the kuo-toa can't use its pincer staff on another target.|||A kuo-toa monitor has a challenge rating of 3 (700 XP). It has the same statistics as a kuo-toa whip except that it adds its Wisdom modifier to its Armor Class (AC 13), loses the Spellcaster trait, and replaces the whip's action options with the following action options.|||Multiattack. The kuo-toa makes one bite attack and two unarmed strikes.|||Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.|||Unarmed Strike. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage plus 3 (1d6) lightning damage, and the target can't take reactions until the end of the kuo-toa's next turn.","11 (natural armor)","65 (10d8 + 20)"," 30 ft., swim 30 ft.","14 (+2)","10 (+0)","14 (+2)","12 (+1)","14 (+2)","11 (+0)","Skills: Perception +6, Religion +4|||"," darkvision 120 ft., passive Perception 16",Undercommon,"1 (200 XP)",5,https://www.aidedd.org/dnd/images/kuo-toa-whip.jpg
215,Lamia,"Large monstrosity, chaotic evil","Innate Spellcasting. The lamia's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast the following spells, requiring no material components.|||Multiattack. The lamia makes two attacks: one with its claws and one with its dagger or Intoxicating Touch.|||Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (2d10 + 3) slashing damage.|||Dagger. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.|||Intoxicating Touch. Melee Spell Attack: +5 to hit, reach 5 ft., one creature. Hit: The target is magically cursed for 1 hour. Until the curse ends, the target has disadvantage on Wisdom saving throws and all ability checks.","13 (natural armor)","97 (13d10 + 26)","30 ft.","16 (+3)","13 (+1)","15 (+2)","14 (+2)","15 (+2)","16 (+3)","Skills: Deception +7, Insight +4, Stealth +3|||"," darkvision 60 ft., passive Perception 12"," Abyssal, Common","4 (1100 XP)",5,https://www.aidedd.org/dnd/images/lamia.jpg
216,Lemure,"Medium fiend (Devil), lawful evil","Devil's Sight. Magical darkness doesn't impede the lemure's darkvision.|||Hellish Rejuvenation. A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.|||Fist. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",7,"13 (3d8)","15 ft.","10 (+0)","5 (-3)","11 (+0)","1 (-5)","11 (+0)","3 (-4)","Damage Resistances: cold|||Damage Immunities: fire, poison|||Condition Immunities: charmed, frightened, poisoned|||"," darkvision 120 ft., passive Perception 10","understands Infernal but can't speak","0 (10 XP)",5,https://www.aidedd.org/dnd/images/lemure.jpg
